runNo,evtNo,nJets,nLeptons,nBJets,category,mva,jetPt,jetEta,jetPhi,jetMass,jetMassSoftDrop,jetTau1,jetTau2,jetTau3,triggerBit
273158,228810226,2,0,0,0,0.189198,[ 541.77087402  464.63562012],[-1.27204072 -1.12141407],[ 0.85293347 -2.31530166],[  90.10404968  169.53872681],[  55.78746414  157.27244568],[ 0.10322858  0.32209143],[ 0.07227356  0.10500722],[ 0.06205374  0.08902366],[ True  True  True False False False False False False False]
273158,229307679,2,0,2,1,0.521495,[ 517.32470703  496.56582642],[-0.2537986  -0.87236762],[-0.57428694  2.58487558],[ 118.85973358  111.77454376],[ 78.54223633  88.19883728],[ 0.21970239  0.20030583],[ 0.1079993   0.08130891],[ 0.08149232  0.05912198],[ True  True  True False False False False False False False]
273158,228310605,2,0,1,1,0.156925,[ 349.65866089  332.52963257],[ 1.73221755  1.67374265],[-2.57324243  0.54033947],[ 96.30269623  79.04605865],[ 81.97145081  52.33564377],[ 0.2550838   0.20548898],[ 0.09713145  0.14003983],[ 0.08022925  0.1168929 ],[False  True  True False False False False False False False]
273158,229301195,2,0,0,0,0.672768,[ 594.96844482  274.63192749],[ 0.89914244  0.98478043],[-1.6542356   0.99271303],[ 154.22750854   79.55821228],[ 145.40226746   70.22924042],[ 0.1574429   0.25757334],[ 0.04478972  0.17003486],[ 0.04123738  0.09245322],[ True  True  True False False False False False False False]
273158,228701365,2,0,0,0,0.11214,[ 459.79718018  370.2250061 ],[ 1.69145811  1.48902428],[-1.60586107  0.7266683 ],[ 100.54259491  107.99253845],[ 59.64906693  68.79566956],[ 0.17243049  0.29329273],[ 0.09581608  0.17479421],[ 0.08641738  0.14332913],[False  True  True False False False False False False False]
273158,229562425,2,0,0,0,0.327397,[ 418.18011475  407.24301147],[-0.8856101  -0.76110399],[-2.97472119  0.16923501],[  94.61626434  132.49255371],[  53.40032578  125.96417999],[ 0.17371802  0.25080442],[ 0.13070072  0.06333436],[ 0.10608204  0.05201319],[False  True  True False False False False False False False]
273158,229420670,2,0,0,0,0.34888,[ 337.54776001  252.777771  ],[ 1.44270504  1.70533299],[-0.10554208  3.0113852 ],[ 89.36009216  89.07704163],[ 50.95259476  84.08950806],[ 0.25636369  0.37495911],[ 0.13585632  0.11092424],[ 0.11819953  0.09341337],[False  True False False False False False False False False]
273158,228156683,2,0,1,0,0.532585,[ 388.60620117  372.8447876 ],[-2.25625944 -2.10881782],[ 2.73240876 -0.26119241],[ 157.79525757  179.11929321],[ 145.50415039  173.04322815],[ 0.41183957  0.53561926],[ 0.22820623  0.21120203],[ 0.17020267  0.14281188],[False  True  True False False False False False False False]
273158,229106753,2,0,0,0,0.221941,[ 328.60049438  268.02038574],[ 1.55086815  1.25382805],[-2.43566132  0.60513854],[ 101.66433716   90.86540222],[ 88.30789948  84.23561096],[ 0.23461618  0.25065252],[ 0.12069005  0.13074836],[ 0.08863077  0.11349384],[False  True False False False False False False False False]
273158,228482937,2,0,1,0,0.191857,[ 400.2512207   378.13848877],[-1.59076071 -1.56247497],[ 2.79515934 -0.35677946],[ 128.16520691  104.57188416],[ 122.23974609   85.18279266],[ 0.25174916  0.19033328],[ 0.08461404  0.12724456],[ 0.07136695  0.10389509],[False  True  True False False False False False False False]
273158,228284986,2,0,1,1,0.442414,[ 347.0050354   328.51727295],[ 0.62286526 -1.63385534],[-2.3154242   0.73161817],[ 128.40274048  130.9176178 ],[ 128.13909912  127.41190338],[ 0.31970683  0.30961522],[ 0.18584557  0.1152514 ],[ 0.12184238  0.10876115],[False  True  True False False False False False False False]
273158,229138667,2,0,0,0,0.74872,[ 1048.86181641   615.31646729],[ 0.17538115  0.9904111 ],[-1.74936843  1.44236374],[ 176.98049927  154.08992004],[ 153.73745728  133.18505859],[ 0.17849778  0.28211048],[ 0.116515    0.08785035],[ 0.06086653  0.065866  ],[ True False False False False False False False False False]
273158,228751189,2,0,0,1,0.544122,[ 464.01971436  440.16680908],[ 0.98175395 -1.33468938],[-0.52582282  2.52114415],[ 118.438591    187.71308899],[  91.29194641  174.39585876],[ 0.27584773  0.40782717],[ 0.09604036  0.2851724 ],[ 0.08096966  0.19986938],[False  True  True False False False False False False False]
273158,229051105,2,0,1,1,0.561473,[ 362.6847229   354.80499268],[-2.01634622  0.72060287],[ 2.70377135 -0.25645471],[ 123.6254425   174.17944336],[ 112.55033875  167.85993958],[ 0.28144914  0.55813342],[ 0.15554777  0.22426781],[ 0.10718834  0.14907883],[False  True False False False False False False False False]
273158,229665920,2,0,1,0,0.485968,[ 762.2399292   354.62063599],[ 0.70763618 -0.1929134 ],[ 0.23104145 -2.41706347],[ 145.11593628  157.78530884],[ 108.56744385  156.05549622],[ 0.18866563  0.46523494],[ 0.09346928  0.21720567],[ 0.07642303  0.15856747],[ True False False  True False False False False False False]
273158,229672850,2,0,0,0,0.449513,[ 364.0116272   264.75613403],[ 0.47804427  2.15338373],[-1.5971334   1.17518425],[ 94.77638245  79.19985199],[ 87.6169281   70.12866211],[ 0.219391    0.29557529],[ 0.11476993  0.09472656],[ 0.08693931  0.07992233],[False  True  True False False False False False False False]
273158,229131310,2,0,1,1,0.64894,[ 443.94891357  379.79071045],[-1.20658672  0.78129786],[-1.56494808  1.72715795],[ 112.47963715  177.03720093],[  99.71714783  172.17878723],[ 0.21112473  0.49171025],[ 0.09228784  0.29432702],[ 0.08096433  0.19562453],[False  True  True False False False False False False False]
273158,228765482,2,0,0,0,0.192223,[ 457.88693237  225.03840637],[-1.58122694  1.66883802],[-2.94946289  0.65796721],[ 136.7118988    57.92914963],[ 130.25166321   51.68844986],[ 0.25339973  0.21613823],[ 0.13276266  0.12728247],[ 0.09598125  0.10832544],[ True False False False False False False False False False]
273158,229200102,3,0,0,1,0.145016,[ 656.12805176  356.35482788  329.41378784],[-1.48285222  1.06528187 -0.01331934],[ 0.45833591  3.01623535 -2.63311195],[ 137.97546387  109.92318726   88.7562027 ],[ 93.17774963  93.98612213  83.1974411 ],[ 0.196839    0.33286032  0.21191636],[ 0.1381215   0.16432138  0.14577124],[ 0.10272823  0.13830979  0.11424215],[ True  True  True False False False False False False False]
273158,228645275,2,0,1,1,0.254802,[ 363.99142456  291.98184204],[-0.42861068 -1.40761781],[-0.11290768  2.9873817 ],[ 128.16447449   95.71421814],[ 119.08830261   88.34745026],[ 0.3226169   0.34463894],[ 0.21421351  0.15724942],[ 0.16059721  0.13563183],[False  True  True False  True False False False False False]
273158,228713435,2,0,0,0,0.355462,[ 400.31756592  397.84274292],[-1.35487592 -1.89056802],[ 1.09123719 -1.90729475],[ 102.24754333  131.63804626],[  85.40052032  117.4386673 ],[ 0.20216824  0.32747373],[ 0.12560984  0.10780399],[ 0.09736601  0.08562601],[False  True  True False False False False False False False]
273158,229050723,2,0,0,0,0.517733,[ 410.78363037  388.42190552],[ 0.24627306 -0.79915041],[-0.23071018  2.80173683],[ 160.11253357  156.83508301],[ 154.9879303   145.69812012],[ 0.34112656  0.37823293],[ 0.11781722  0.12658557],[ 0.09442062  0.10747924],[False  True  True False False False False False False False]
273158,228206283,2,0,0,0,0.490434,[ 344.83282471  340.27160645],[ 1.71167517  1.44912493],[ 0.7306397  -2.31966209],[ 95.824646    98.58802795],[ 70.11760712  81.75018311],[ 0.26029322  0.3135806 ],[ 0.19367543  0.14068092],[ 0.10204798  0.11642732],[False False False False  True False False False False False]
273158,228927759,2,0,1,0,0.0687684,[ 343.37658691  293.18582153],[-0.54471028 -2.05329418],[ 2.45618248 -0.54885149],[ 80.93643951  87.0844574 ],[ 53.07583618  66.56725311],[ 0.20201556  0.21552928],[ 0.16794245  0.12305561],[ 0.11700105  0.10530353],[False  True  True False False False False False False False]
273158,229293771,2,0,0,0,0.351404,[ 347.43496704  251.39550781],[-0.35888654 -1.36310673],[ 2.49718785 -0.58756232],[ 129.80056763   80.20197296],[ 124.5627594    58.06583786],[ 0.33083636  0.33543244],[ 0.11793915  0.15465392],[ 0.09673081  0.13387124],[False  True False False False False False False False False]
273158,228377736,2,0,0,0,0.194244,[ 273.07791138  257.48434448],[ 0.73408556 -0.92362553],[ 2.34661531  2.62476707],[ 100.87207794   67.67642212],[ 100.70477295   54.990345  ],[ 0.41523087  0.17381333],[ 0.16350448  0.10766182],[ 0.12473117  0.10013985],[ True  True  True False False False False False False False]
273158,229135234,2,0,0,0,0.662787,[ 464.11401367  454.93344116],[ 1.73030984  2.21218705],[-2.50976706  0.05107623],[ 157.26054382  138.77268982],[ 148.92927551  135.47874451],[ 0.35925013  0.22038972],[ 0.1579494   0.08710616],[ 0.1281238   0.04640929],[ True  True  True False False False False False False False]
273158,228917753,2,0,0,0,0.229279,[ 423.80969238  286.47439575],[-0.51635712  2.03266597],[-0.02541093  3.09669399],[ 140.15995789  101.46652985],[ 132.52436829   83.45724487],[ 0.30928621  0.34953213],[ 0.17529248  0.24130458],[ 0.14048643  0.18386017],[False  True  True False False False False False False False]
273158,229120424,2,0,0,0,0.514316,[ 291.70504761  289.41162109],[-1.6135993   0.58971524],[-0.41419223  2.85281253],[  83.73706055  110.43599701],[  79.97618866  110.04598999],[ 0.27704662  0.38229433],[ 0.13769548  0.18242367],[ 0.11594842  0.11828319],[False  True False False False False False False False False]
273158,229650579,2,0,0,0,0.0726517,[ 444.0723877   407.29077148],[ 1.40701175  0.3894566 ],[ 0.93105167 -2.20650721],[ 100.83906555  107.15856934],[ 60.29534531  65.99451447],[ 0.20958145  0.19487266],[ 0.10030404  0.14082123],[ 0.08810807  0.10743876],[False  True  True False  True False False False False False]
273158,229324327,2,0,0,0,0.214636,[ 383.84365845  272.43002319],[-0.58287585  0.0851876 ],[ 2.76308346 -0.1938801 ],[ 86.6780014   81.44519806],[ 65.26733398  70.24436951],[ 0.22343785  0.25574633],[ 0.07255518  0.17013854],[ 0.06531887  0.13799316],[False  True  True  True False False False False False False]
273158,228158741,2,0,0,0,0.754833,[ 281.49539185  263.49035645],[-0.40235442  1.61248517],[ 2.21944213 -0.78370064],[ 73.57962799  99.29286194],[ 50.71059799  92.63001251],[ 0.22271754  0.41166919],[ 0.14806277  0.17577751],[ 0.12846154  0.08977053],[False  True False False False False False False False False]
273158,228679170,2,0,0,0,0.619902,[ 483.87918091  467.94168091],[-0.68479759 -0.53187788],[-2.58042121  0.64492017],[ 153.3278656   123.49080658],[ 142.78715515  117.18408203],[ 0.30160627  0.20389758],[ 0.09623138  0.09940174],[ 0.06993437  0.06874929],[ True  True  True False False False False False False False]
273158,229092701,2,0,0,0,0.171574,[ 343.34979248  318.56478882],[-0.22324316  0.8922233 ],[ 1.02292693 -1.85329652],[ 144.31307983   90.74213409],[ 146.10095215   82.98469543],[ 0.44624045  0.23853524],[ 0.16457544  0.12919705],[ 0.14617276  0.11644585],[False  True False False False False False False False False]
273158,229328047,2,0,0,0,0.0945513,[ 661.22894287  481.56768799],[ 1.18556869 -0.75821167],[-1.29972923  2.33581042],[ 135.11860657  110.7833252 ],[ 119.08639526  100.01026917],[ 0.11240181  0.15364006],[ 0.06209147  0.09660438],[ 0.04814536  0.07819089],[ True  True  True False  True False False False False False]
273158,229028403,2,0,0,0,0.855052,[ 492.71954346  443.8973999 ],[ 2.26378107  1.19758308],[-0.08309283 -2.93944812],[ 132.27528381  152.57801819],[ 116.07593536  139.01861572],[ 0.18554851  0.24619798],[ 0.1016598   0.12254351],[ 0.0848796   0.04900924],[ True  True  True False False False False False False False]
273158,229608829,2,0,0,1,0.341938,[ 395.26266479  374.19439697],[ 0.97887099  2.36320925],[-1.00237894  2.24330854],[ 106.34303284  131.03509521],[  89.45149231  129.05110168],[ 0.22076878  0.30128777],[ 0.09424669  0.13787891],[ 0.07661858  0.11488334],[False  True  True False False False False False False False]
